,Date,Open,High,Low,Close*,Adj Close**,Volume
45,"Mar 06, 2024",402.97,405.16,398.39,402.09,402.09,"22,344,100"
46,"Mar 05, 2024",413.96,414.25,400.64,402.65,402.65,"26,919,200"
47,"Mar 04, 2024",413.44,417.35,412.32,414.92,414.92,"17,596,000"
48,"Mar 01, 2024",411.27,415.87,410.88,415.50,415.50,"17,800,300"
49,"Feb 29, 2024",408.64,414.20,405.92,413.64,413.64,"31,947,300"
50,"Feb 28, 2024",408.18,409.30,405.32,407.72,407.72,"13,183,100"
51,"Feb 27, 2024",407.99,408.32,403.85,407.48,407.48,"14,835,800"
52,"Feb 26, 2024",411.46,412.16,407.36,407.54,407.54,"16,193,500"
53,"Feb 23, 2024",415.67,415.86,408.97,410.34,410.34,"16,295,900"
54,"Feb 22, 2024",410.19,412.83,408.57,411.65,411.65,"27,009,900"
55,"Feb 21, 2024",400.17,402.29,397.22,402.18,402.18,"18,631,100"
56,"Feb 20, 2024",403.24,404.49,398.01,402.79,402.79,"24,307,900"
57,"Feb 16, 2024",407.96,408.29,403.44,404.06,404.06,"22,281,100"
58,"Feb 15, 2024",408.14,409.13,404.29,406.56,406.56,"21,825,500"
59,"Feb 14, 2024",408.07,409.84,404.57,409.49,409.49,"20,401,200"
60,"Feb 14, 2024",0.75 Dividend,,,,,
61,"Feb 13, 2024",404.94,410.07,403.39,406.32,405.57,"27,824,900"
62,"Feb 12, 2024",420.56,420.74,414.75,415.26,414.49,"21,202,900"
63,"Feb 09, 2024",415.25,420.82,415.09,420.55,419.77,"22,032,800"
64,"Feb 08, 2024",414.05,415.56,412.53,414.11,413.35,"21,225,300"
65,"Feb 07, 2024",407.44,414.30,407.40,414.05,413.29,"22,340,500"
66,"Feb 06, 2024",405.88,407.97,402.91,405.49,404.74,"18,382,600"
67,"Feb 05, 2024",409.90,411.16,403.99,405.65,404.90,"25,352,300"
68,"Feb 02, 2024",403.81,412.65,403.56,411.22,410.46,"28,245,000"
69,"Feb 01, 2024",401.83,408.00,401.80,403.78,403.03,"30,657,700"
70,"Jan 31, 2024",406.96,415.32,397.21,397.58,396.85,"47,871,100"
